member_id,loan_status,int_rate,Bin_int,dti,Bin_dti,Default_flag,No_of_Enquiry,enq_buckets,annual_inc,Income_bins,home_ownership,purpose,open_acc,emp_length,verification_status,delinq_2yrs,loan_amnt,Bins_loan_amt
LC22989,Fully Paid,10.38%,8,13.1,13,0,1,1-4,15120,1,RENT,debt_consolidation,14,9 years,Verified,0,21600,18
LC2299,Fully Paid,18.25%,20,4.36,5,0,0,0,33600,3,OWN,major_purchase,9,5 years,Not Verified,1,8850,8
LC22990,Fully Paid,15.58%,16,21.73,22,0,2,1-4,75000,6,MORTGAGE,debt_consolidation,8,2 years,Not Verified,0,10000,8
LC22991,Fully Paid,7.51%,4,24.41,24,0,2,1-4,45000,4,MORTGAGE,debt_consolidation,9,1 year,Source Verified,0,15000,13
LC22992,Fully Paid,7.88%,4,9.69,10,0,0,0,38400,3,RENT,credit_card,8,6 years,Not Verified,1,7500,6
LC22993,Fully Paid,15.21%,15,3.25,4,0,0,0,24000,2,MORTGAGE,credit_card,4,8 years,Source Verified,0,6000,5
LC22994,Fully Paid,15.58%,16,19.74,20,0,0,0,60000,5,MORTGAGE,debt_consolidation,10,5 years,Verified,0,16750,14
LC22995,Fully Paid,14.72%,15,17.9,18,0,0,0,60000,5,RENT,credit_card,9,9 years,Verified,1,15000,13
LC22996,Charged Off,16.45%,17,19.88,20,1,1,1-4,40800,3,RENT,car,12,10+ years,Not Verified,1,1000,1
LC22997,Fully Paid,15.58%,16,7.83,8,0,1,1-4,47028,4,RENT,small_business,2,LT 1year,Source Verified,0,1950,2
LC22998,Charged Off,21.64%,25,1.11,2,1,1,1-4,105000,8,RENT,debt_consolidation,10,2 years,Not Verified,0,16000,14
LC22999,Fully Paid,11.49%,10,10.2,10,0,3,1-4,30000,2,RENT,small_business,6,3 years,Source Verified,0,28000,24
LC23,Charged Off,20.30%,23,15.64,16,1,2,1-4,80000,6,RENT,debt_consolidation,5,LT 1year,Not Verified,0,8000,7
LC230,Fully Paid,12.42%,11,10.73,11,0,1,1-4,54000,4,RENT,debt_consolidation,6,7 years,Not Verified,0,9600,8
LC2300,Fully Paid,12.42%,11,19.84,20,0,0,0,60000,5,MORTGAGE,debt_consolidation,9,5 years,Not Verified,0,6000,5
LC23000,Fully Paid,20.90%,24,15.95,16,0,0,0,140600,11,RENT,debt_consolidation,8,6 years,Verified,0,11900,10
LC23001,Charged Off,15.21%,15,14.5,15,1,3,1-4,36000,3,MORTGAGE,debt_consolidation,14,2 years,Verified,0,15000,13
LC23002,Fully Paid,7.14%,3,4.34,5,0,2,1-4,60000,5,RENT,wedding,3,10+ years,Source Verified,1,8000,7
LC23003,Fully Paid,16.45%,17,23.91,24,0,0,0,107496,8,MORTGAGE,debt_consolidation,11,10+ years,Verified,0,20000,17
LC23004,Fully Paid,11.49%,10,17.04,17,0,1,1-4,79000,6,MORTGAGE,home_improvement,5,7 years,Not Verified,0,5000,4
LC23005,Fully Paid,13.98%,13,10.49,11,0,0,0,69552,6,MORTGAGE,debt_consolidation,3,1 year,Source Verified,0,20000,17
LC23006,Fully Paid,11.49%,10,23.92,24,0,3,1-4,14400,1,RENT,debt_consolidation,8,6 years,Verified,0,6625,6
LC23007,Fully Paid,11.12%,9,2.04,2,0,0,0,100000,8,RENT,other,7,5 years,Not Verified,1,20000,17
LC23008,Fully Paid,13.23%,12,5.61,6,0,0,0,86000,7,MORTGAGE,educational,13,10+ years,Not Verified,2,3000,3
LC23009,Fully Paid,21.27%,24,21.51,21,0,1,1-4,80000,6,OWN,home_improvement,5,2 years,Source Verified,0,6000,5
LC2301,Charged Off,19.03%,21,19.09,19,1,3,1-4,51600,4,MORTGAGE,car,15,5 years,Verified,0,6000,5
LC23010,Fully Paid,16.32%,17,8.02,8,0,0,0,60000,5,RENT,major_purchase,4,LT 1year,Not Verified,2,4900,4
LC23011,Fully Paid,13.23%,12,22.79,23,0,1,1-4,45000,4,RENT,major_purchase,9,4 years,Not Verified,0,10000,8
LC23012,Fully Paid,13.61%,13,11.8,12,0,1,1-4,30000,2,RENT,debt_consolidation,14,4 years,Verified,0,18000,15
LC23013,Fully Paid,13.23%,12,5.22,6,0,3,1-4,104000,8,MORTGAGE,medical,10,LT 1year,Source Verified,0,4550,4
LC23014,Fully Paid,16.82%,18,19.37,19,0,0,0,89697,7,MORTGAGE,wedding,11,4 years,Not Verified,0,10000,8
LC23015,Fully Paid,10.38%,8,19.17,19,0,2,1-4,42000,3,MORTGAGE,debt_consolidation,9,4 years,Verified,0,10000,8
LC23016,Fully Paid,15.21%,15,21.79,22,0,0,0,75000,6,MORTGAGE,other,8,3 years,Not Verified,0,8000,7
LC23017,Fully Paid,7.88%,4,13.31,13,0,1,1-4,57600,5,MORTGAGE,wedding,12,3 years,Not Verified,0,3000,3
LC23018,Charged Off,6.39%,2,14.07,14,1,2,1-4,36000,3,MORTGAGE,credit_card,12,LT 1year,Verified,1,21500,18
LC23019,Charged Off,15.21%,15,6.49,7,1,1,1-4,61240,5,MORTGAGE,small_business,23,4 years,Verified,0,20000,17
LC2302,Fully Paid,6.62%,2,27.93,28,0,1,1-4,47000,4,OWN,small_business,15,4 years,Source Verified,0,30000,25
LC23020,Charged Off,14.35%,14,9.77,10,1,0,0,65000,5,RENT,medical,6,9 years,Not Verified,0,5000,4
LC23021,Fully Paid,15.58%,16,5.21,6,0,1,1-4,210000,16,MORTGAGE,debt_consolidation,11,5 years,Not Verified,0,6000,5
LC23022,Fully Paid,11.86%,10,14.82,15,0,3,1-4,40800,3,RENT,home_improvement,11,2 years,Verified,0,12000,10
LC23023,Fully Paid,13.61%,13,10.23,10,0,2,1-4,24996,2,RENT,debt_consolidation,10,2 years,Verified,0,30000,25
LC23024,Fully Paid,11.86%,10,16.87,17,0,0,0,36000,3,RENT,debt_consolidation,10,10+ years,Verified,0,20000,17
LC23025,Fully Paid,15.95%,16,15.8,16,0,2,1-4,53000,4,RENT,car,12,8 years,Not Verified,0,5000,4
LC23026,Fully Paid,7.88%,4,2.12,3,0,0,0,72000,6,MORTGAGE,other,8,4 years,Verified,0,4000,3
LC23027,Fully Paid,13.61%,13,18.92,19,0,1,1-4,244000,19,RENT,debt_consolidation,7,10+ years,Not Verified,0,20000,17
LC23028,Fully Paid,11.12%,9,11.02,11,0,3,1-4,31680,3,RENT,credit_card,6,n/a,Verified,0,25475,21
LC23029,Fully Paid,17.56%,19,5.77,6,0,0,0,31000,3,OWN,wedding,5,n/a,Source Verified,2,7800,7
LC2303,Fully Paid,8.90%,6,8.98,9,0,1,1-4,52000,4,MORTGAGE,major_purchase,10,8 years,Source Verified,0,8000,7
LC23030,Fully Paid,11.49%,10,21.48,21,0,2,1-4,30000,2,RENT,debt_consolidation,12,1 year,Verified,0,20950,18
LC23031,Fully Paid,14.35%,14,8.99,9,0,0,0,65000,5,MORTGAGE,debt_consolidation,4,LT 1year,Source Verified,0,12000,10
LC23032,Fully Paid,15.58%,16,1.17,2,0,2,1-4,35004,3,OWN,other,9,10+ years,Verified,0,5000,4
LC23033,Fully Paid,17.19%,18,11.57,12,0,0,0,72000,6,RENT,debt_consolidation,3,1 year,Verified,0,17500,15
LC23034,Fully Paid,18.67%,21,21.48,21,0,0,0,78000,6,MORTGAGE,other,8,7 years,Verified,0,15000,13
LC23035,Fully Paid,11.12%,9,4.62,5,0,0,0,31200,3,RENT,credit_card,12,LT 1year,Not Verified,0,18000,15
LC23036,Fully Paid,17.19%,18,9,9,0,2,1-4,200000,16,MORTGAGE,debt_consolidation,14,2 years,Not Verified,0,11000,9
LC23037,Fully Paid,10.38%,8,19.6,19,0,0,0,74400,6,RENT,debt_consolidation,6,LT 1year,Not Verified,0,18000,15
LC23038,Fully Paid,17.93%,19,19.72,20,0,0,0,83000,7,RENT,debt_consolidation,34,2 years,Verified,0,18000,15
LC23039,Fully Paid,13.98%,13,14.45,14,0,1,1-4,70000,6,RENT,debt_consolidation,12,7 years,Verified,0,24000,20
LC2304,Fully Paid,7.90%,4,16.35,16,0,0,0,90000,7,MORTGAGE,car,20,3 years,Not Verified,1,9000,8
LC23040,Charged Off,11.49%,10,12.75,13,1,0,0,90000,7,MORTGAGE,debt_consolidation,5,10+ years,Not Verified,0,2500,2
LC23041,Fully Paid,16.82%,18,16.25,16,0,0,0,77000,6,MORTGAGE,debt_consolidation,6,4 years,Not Verified,0,8000,7
LC23042,Fully Paid,11.86%,10,24.52,24,0,0,0,76300,6,MORTGAGE,major_purchase,7,n/a,Not Verified,0,18250,15
LC23043,Fully Paid,20.53%,23,14.54,15,0,0,0,133250,10,MORTGAGE,debt_consolidation,12,2 years,Source Verified,0,12000,10
LC23044,Fully Paid,11.86%,10,6.74,7,0,0,0,42000,3,RENT,debt_consolidation,8,4 years,Not Verified,0,16000,14
LC23045,Fully Paid,13.61%,13,24.57,24,0,0,0,36000,3,MORTGAGE,credit_card,12,2 years,Source Verified,0,15000,13
LC23046,Fully Paid,11.86%,10,11,11,0,0,0,33600,3,RENT,wedding,10,10+ years,Verified,0,35000,29
LC23047,Fully Paid,10.75%,9,18.1,18,0,0,0,38196,3,MORTGAGE,debt_consolidation,10,2 years,Not Verified,0,12000,10
LC23048,Fully Paid,11.49%,10,17.6,18,0,3,1-4,38052,3,RENT,debt_consolidation,2,5 years,Verified,0,10400,9
LC23049,Fully Paid,11.86%,10,14.06,14,0,1,1-4,157500,12,MORTGAGE,credit_card,12,LT 1year,Verified,0,7500,6
LC2305,Fully Paid,12.69%,11,13.99,14,0,0,0,145000,11,MORTGAGE,other,7,4 years,Verified,0,10000,8
LC23050,Fully Paid,7.88%,4,19.6,19,0,4,1-4,45312,4,RENT,car,6,6 years,Not Verified,0,2000,2
LC23051,Fully Paid,15.21%,15,24.36,24,0,2,1-4,98000,8,MORTGAGE,debt_consolidation,7,3 years,Not Verified,0,7000,6
LC23052,Charged Off,15.58%,16,14.23,14,1,3,1-4,65004,5,RENT,debt_consolidation,3,LT 1year,Source Verified,0,5000,4
LC23053,Fully Paid,13.61%,13,4.1,4,0,0,0,36000,3,RENT,car,6,3 years,Verified,0,6900,6
LC23054,Fully Paid,13.61%,13,19.2,19,0,3,1-4,136092,11,MORTGAGE,other,6,1 year,Verified,0,15000,13
LC23055,Fully Paid,7.51%,4,21.41,21,0,0,0,26004,2,OWN,debt_consolidation,16,10+ years,Source Verified,0,22400,19
LC23056,Fully Paid,11.12%,9,0.53,1,0,0,0,90000,7,RENT,debt_consolidation,6,2 years,Not Verified,0,9000,8
LC23057,Fully Paid,11.49%,10,9.1,9,0,0,0,12000,1,RENT,debt_consolidation,10,2 years,Not Verified,1,7200,6
LC23058,Fully Paid,14.35%,14,20.35,20,0,0,0,48000,4,RENT,debt_consolidation,5,1 year,Source Verified,0,9900,8
LC23059,Fully Paid,11.49%,10,24.32,24,0,1,1-4,26400,2,MORTGAGE,debt_consolidation,5,5 years,Not Verified,0,2500,2
LC2306,Fully Paid,6.03%,1,19.43,19,0,0,0,102500,8,MORTGAGE,other,13,4 years,Not Verified,0,10000,8
LC23060,Fully Paid,17.19%,18,9.19,9,0,1,1-4,19200,2,RENT,small_business,4,n/a,Not Verified,0,4000,3
LC23061,Fully Paid,15.21%,15,21.92,22,0,0,0,41000,3,RENT,house,6,10+ years,Not Verified,0,4000,3
LC23062,Fully Paid,11.86%,10,4.52,5,0,0,0,107220.57,8,MORTGAGE,medical,21,5 years,Verified,0,10000,8
LC23063,Fully Paid,17.19%,18,1.39,2,0,1,1-4,12996,1,RENT,wedding,3,9 years,Not Verified,0,1800,2
LC23064,Fully Paid,13.61%,13,8.45,9,0,0,0,48000,4,OWN,other,3,10+ years,Source Verified,1,10000,8
LC23065,Fully Paid,11.86%,10,11.2,11,0,0,0,48000,4,RENT,small_business,15,10+ years,Verified,0,27525,23
LC23066,Fully Paid,7.14%,3,11.69,12,0,2,1-4,67260,5,MORTGAGE,other,3,4 years,Source Verified,0,4000,3
LC23067,Fully Paid,13.61%,13,12.5,13,0,1,1-4,50000,4,MORTGAGE,debt_consolidation,13,6 years,Source Verified,0,6000,5
LC23068,Fully Paid,13.61%,13,17.75,18,0,0,0,57996,5,RENT,debt_consolidation,15,2 years,Not Verified,0,10200,9
LC23069,Fully Paid,15.95%,16,9.76,10,0,0,0,84996,7,RENT,major_purchase,4,2 years,Not Verified,0,6000,5
LC2307,Fully Paid,7.90%,4,12.5,13,0,1,1-4,12000,1,RENT,debt_consolidation,8,10+ years,Source Verified,0,14000,12
LC23070,Fully Paid,6.76%,3,6.29,7,0,2,1-4,42000,3,OWN,credit_card,9,4 years,Not Verified,0,9000,8
LC23071,Fully Paid,11.12%,9,24.5,24,0,0,0,36000,3,RENT,other,17,10+ years,Verified,0,10000,8
LC23072,Fully Paid,13.98%,13,19.32,19,0,5,5-8,70000,6,MORTGAGE,moving,3,LT 1year,Source Verified,1,4500,4
LC23073,Fully Paid,11.49%,10,12.53,13,0,0,0,150000,12,MORTGAGE,small_business,12,2 years,Not Verified,2,16000,14
LC23074,Fully Paid,15.58%,16,17.1,17,0,0,0,57600,5,RENT,wedding,4,2 years,Verified,0,10000,8
LC23075,Fully Paid,7.51%,4,2.14,3,0,1,1-4,80004,6,MORTGAGE,debt_consolidation,5,LT 1year,Not Verified,0,6500,6
LC23076,Fully Paid,11.49%,10,5.73,6,0,0,0,66000,5,RENT,debt_consolidation,4,LT 1year,Verified,0,3000,3
LC23077,Charged Off,13.61%,13,19.28,19,1,1,1-4,124800,10,MORTGAGE,debt_consolidation,13,2 years,Not Verified,0,7600,6
LC23078,Fully Paid,7.51%,4,7.4,8,0,3,1-4,102996,8,MORTGAGE,debt_consolidation,6,4 years,Source Verified,1,12000,10
LC23079,Fully Paid,11.49%,10,16.74,17,0,0,0,56000,4,RENT,house,8,10+ years,Not Verified,3,12000,10
LC2308,Fully Paid,6.03%,1,8.28,9,0,0,0,120155,9,MORTGAGE,debt_consolidation,10,3 years,Verified,0,13000,11
LC23080,Fully Paid,7.88%,4,13.2,13,0,0,0,32000,3,RENT,debt_consolidation,12,3 years,Verified,0,28000,24
LC23081,Fully Paid,7.88%,4,15.24,15,0,0,0,67000,5,RENT,small_business,26,LT 1year,Verified,0,14500,12
LC23082,Fully Paid,14.72%,15,5.08,5,0,0,0,42000,3,RENT,home_improvement,13,6 years,Verified,1,5000,4
LC23083,Fully Paid,13.23%,12,3.57,4,0,0,0,148716,12,RENT,credit_card,10,10+ years,Verified,1,25000,21
LC23084,Fully Paid,19.41%,22,14.83,15,0,3,1-4,39000,3,RENT,debt_consolidation,21,8 years,Not Verified,0,3600,3
LC23085,Charged Off,15.21%,15,13.28,13,1,1,1-4,29268,2,MORTGAGE,debt_consolidation,8,10+ years,Not Verified,0,15000,13
LC23086,Fully Paid,13.98%,13,12.76,13,0,0,0,33000,3,OWN,debt_consolidation,7,4 years,Verified,0,19200,16
LC23087,Fully Paid,15.95%,16,22.76,23,0,2,1-4,72500,6,MORTGAGE,moving,15,8 years,Verified,0,6000,5
LC23088,Charged Off,11.86%,10,19.86,20,1,2,1-4,33600,3,RENT,debt_consolidation,3,1 year,Source Verified,0,16400,14
LC23089,Fully Paid,16.45%,17,19.65,20,0,3,1-4,24000,2,RENT,debt_consolidation,15,8 years,Verified,0,16200,14
LC2309,Fully Paid,11.71%,10,16.2,16,0,0,0,83195,7,RENT,credit_card,15,2 years,Not Verified,0,17000,14
LC23090,Fully Paid,15.21%,15,23.52,23,0,0,0,90000,7,MORTGAGE,major_purchase,5,7 years,Not Verified,0,15200,13
LC23091,Fully Paid,10.75%,9,5.67,6,0,0,0,95004,7,RENT,home_improvement,5,4 years,Not Verified,0,5100,4
LC23092,Fully Paid,13.61%,13,20.69,21,0,0,0,137004,11,MORTGAGE,credit_card,10,8 years,Not Verified,2,4500,4
LC23093,Fully Paid,17.56%,19,18.56,18,0,2,1-4,45000,4,RENT,home_improvement,7,7 years,Verified,0,12000,10
LC23094,Fully Paid,11.86%,10,10.35,11,0,0,0,129000,10,MORTGAGE,debt_consolidation,12,4 years,Not Verified,0,4900,4
LC23095,Fully Paid,11.86%,10,18.64,19,0,1,1-4,43200,4,RENT,debt_consolidation,18,5 years,Verified,0,25000,21
LC23096,Fully Paid,17.56%,19,23.08,23,0,2,1-4,52000,4,RENT,other,20,4 years,Not Verified,0,5000,4
LC23097,Fully Paid,11.86%,10,14.61,15,0,1,1-4,70000,6,RENT,other,11,10+ years,Source Verified,1,4000,3
LC23098,Fully Paid,15.95%,16,24.15,24,0,1,1-4,65000,5,RENT,debt_consolidation,11,2 years,Source Verified,0,3000,3
LC23099,Fully Paid,11.12%,9,13.08,13,0,0,0,42556.8,3,MORTGAGE,debt_consolidation,9,2 years,Source Verified,0,10000,8
LC231,Charged Off,18.25%,20,8.68,9,1,1,1-4,80000,6,RENT,small_business,7,9 years,Verified,0,25000,21
LC2310,Fully Paid,19.42%,22,20.94,21,0,1,1-4,42000,3,MORTGAGE,home_improvement,9,5 years,Source Verified,0,9000,8
LC23100,Fully Paid,13.98%,13,17.15,17,0,0,0,76000,6,RENT,home_improvement,2,10+ years,Source Verified,1,3000,3
LC23101,Charged Off,13.23%,12,19.63,19,1,1,1-4,67200,5,MORTGAGE,credit_card,3,2 years,Not Verified,0,7500,6
LC23102,Charged Off,19.04%,21,19.17,19,1,0,0,35000,3,RENT,debt_consolidation,15,n/a,Verified,0,7800,7
LC23103,Fully Paid,10.38%,8,20.81,21,0,0,0,44000,4,MORTGAGE,debt_consolidation,9,10+ years,Source Verified,0,16800,14
LC23104,Fully Paid,18.30%,20,13.02,13,0,0,0,137496,11,MORTGAGE,other,17,6 years,Not Verified,0,4000,3
LC23105,Fully Paid,11.49%,10,22.25,22,0,2,1-4,90000,7,OWN,debt_consolidation,10,5 years,Not Verified,0,25000,21
LC23106,Fully Paid,13.61%,13,2.69,3,0,2,1-4,53124,4,MORTGAGE,small_business,5,4 years,Verified,0,6000,5
LC23107,Charged Off,13.98%,13,23.26,23,1,3,1-4,60000,5,MORTGAGE,debt_consolidation,3,5 years,Source Verified,0,15000,13
LC23108,Fully Paid,13.61%,13,17.9,18,0,0,0,68455.14,5,MORTGAGE,credit_card,4,10+ years,Not Verified,0,3500,3
LC23109,Fully Paid,13.23%,12,16.13,16,0,2,1-4,36000,3,MORTGAGE,car,12,7 years,Verified,0,9600,8
LC2311,Fully Paid,7.90%,4,15.55,16,0,0,0,37200,3,RENT,debt_consolidation,3,5 years,Not Verified,0,7500,6
LC23110,Fully Paid,13.98%,13,16.61,17,0,1,1-4,65004,5,RENT,credit_card,13,10+ years,Source Verified,0,24000,20
LC23111,Fully Paid,7.88%,4,11.24,11,0,0,0,65000,5,RENT,car,4,10+ years,Source Verified,0,1800,2
LC23112,Charged Off,11.12%,9,22.69,22,1,1,1-4,80400,6,MORTGAGE,debt_consolidation,20,10+ years,Verified,0,12000,10
LC23113,Fully Paid,7.51%,4,1.66,2,0,0,0,93000,7,MORTGAGE,credit_card,9,10+ years,Not Verified,0,10000,8
LC23114,Fully Paid,17.56%,19,13.2,13,0,1,1-4,80000,6,RENT,debt_consolidation,14,LT 1year,Not Verified,0,12000,10
LC23115,Fully Paid,13.61%,13,24.55,24,0,0,0,102000,8,MORTGAGE,small_business,13,2 years,Not Verified,0,12000,10
LC23116,Fully Paid,18.30%,20,12.5,13,0,1,1-4,36000,3,MORTGAGE,major_purchase,2,3 years,Verified,0,4475,4
LC23117,Charged Off,15.58%,16,22.41,22,1,0,0,40800,3,RENT,debt_consolidation,12,5 years,Source Verified,0,14500,12
LC23118,Fully Paid,7.51%,4,17.31,17,0,0,0,65520,5,RENT,debt_consolidation,8,3 years,Verified,0,15000,13
LC23119,Fully Paid,14.84%,15,13.63,14,0,0,0,40068,3,RENT,major_purchase,11,10+ years,Not Verified,0,1800,2
LC2312,Charged Off,11.71%,10,9.84,10,1,0,0,80000,6,RENT,debt_consolidation,8,10+ years,Not Verified,0,11175,9
LC23120,Fully Paid,11.86%,10,20.59,20,0,1,1-4,74500,6,MORTGAGE,small_business,16,10+ years,Source Verified,0,10000,8
LC23121,Fully Paid,14.72%,15,19.61,19,0,2,1-4,58000,5,RENT,debt_consolidation,6,LT 1year,Not Verified,0,8225,7
LC23122,Fully Paid,13.98%,13,17.43,17,0,1,1-4,33600,3,OWN,other,10,1 year,Verified,0,12000,10
LC23123,Fully Paid,17.19%,18,24.39,24,0,2,1-4,58000,5,RENT,debt_consolidation,12,LT 1year,Not Verified,0,4600,4
LC23124,Fully Paid,11.49%,10,10.25,10,0,0,0,50000,4,RENT,home_improvement,3,10+ years,Not Verified,0,5000,4
LC23125,Fully Paid,18.67%,21,20.31,20,0,0,0,51000,4,RENT,small_business,12,n/a,Source Verified,0,8000,7
LC23126,Fully Paid,11.86%,10,4.68,5,0,1,1-4,150000,12,MORTGAGE,wedding,16,LT 1year,Not Verified,6,6000,5
LC23127,Charged Off,7.88%,4,13.96,14,1,1,1-4,57000,5,RENT,car,3,LT 1year,Not Verified,0,4000,3
LC23128,Fully Paid,7.88%,4,5.4,6,0,1,1-4,67500,5,MORTGAGE,credit_card,17,8 years,Verified,0,15000,13
LC23129,Fully Paid,18.30%,20,11.07,11,0,1,1-4,35000,3,RENT,debt_consolidation,6,10+ years,Source Verified,0,3200,3
LC2313,Fully Paid,10.65%,8,24.08,24,0,0,0,63900,5,RENT,debt_consolidation,7,6 years,Verified,0,25000,21
LC23130,Fully Paid,10.75%,9,6.67,7,0,1,1-4,80004,6,MORTGAGE,debt_consolidation,9,10+ years,Not Verified,0,10000,8
LC23131,Fully Paid,11.12%,9,12.55,13,0,1,1-4,55000,4,MORTGAGE,home_improvement,7,LT 1year,Verified,0,24250,20
LC23132,Charged Off,14.35%,14,24.64,24,1,2,1-4,26400,2,RENT,small_business,9,5 years,Verified,0,4400,4
LC23133,Fully Paid,11.86%,10,18.85,19,0,0,0,48000,4,RENT,house,7,8 years,Verified,1,20000,17
LC23134,Fully Paid,14.84%,15,11.64,12,0,0,0,38352,3,RENT,moving,7,5 years,Source Verified,1,10000,8
LC23135,Fully Paid,16.82%,18,23.42,23,0,3,1-4,105000,8,MORTGAGE,debt_consolidation,14,3 years,Verified,0,20000,17
LC23136,Fully Paid,14.84%,15,5.13,5,0,0,0,26880,2,RENT,debt_consolidation,14,5 years,Verified,0,5000,4
LC23137,Fully Paid,13.61%,13,12.42,13,0,0,0,91000,7,MORTGAGE,home_improvement,5,5 years,Not Verified,0,10000,8
LC23138,Fully Paid,10.38%,8,6.85,7,0,0,0,72000,6,MORTGAGE,debt_consolidation,12,10+ years,Verified,0,9800,8
LC23139,Charged Off,11.86%,10,23.74,23,1,0,0,22440,2,OWN,debt_consolidation,6,6 years,Source Verified,0,14100,12
LC2314,Fully Paid,6.62%,2,7.16,7,0,0,0,100000,8,MORTGAGE,debt_consolidation,7,3 years,Not Verified,0,10000,8
LC23140,Fully Paid,10.75%,9,0,1,0,0,0,110000,9,MORTGAGE,car,22,4 years,Not Verified,0,4500,4
LC23141,Fully Paid,11.49%,10,14,14,0,2,1-4,45000,4,RENT,wedding,21,3 years,Source Verified,0,3100,3
LC23142,Charged Off,15.58%,16,12.28,12,1,0,0,109896,9,RENT,debt_consolidation,14,9 years,Not Verified,0,4600,4
LC23143,Fully Paid,7.51%,4,5.48,6,0,0,0,120000,9,RENT,credit_card,17,2 years,Verified,0,8000,7
LC23144,Charged Off,7.51%,4,20.06,20,1,1,1-4,50000,4,RENT,debt_consolidation,10,7 years,Source Verified,0,6000,5
LC23145,Fully Paid,11.12%,9,19.51,19,0,0,0,62004,5,MORTGAGE,wedding,13,5 years,Not Verified,0,10000,8
LC23146,Fully Paid,21.27%,24,5.15,5,0,1,1-4,65000,5,RENT,debt_consolidation,10,n/a,Source Verified,1,8000,7
LC23147,Fully Paid,11.86%,10,12.87,13,0,0,0,40000,3,MORTGAGE,debt_consolidation,5,10+ years,Not Verified,0,6950,6
LC23148,Fully Paid,10.75%,9,16.68,17,0,0,0,80496,6,MORTGAGE,credit_card,6,10+ years,Not Verified,0,12000,10
LC23149,Fully Paid,14.84%,15,14.96,15,0,1,1-4,17000,1,OWN,wedding,9,4 years,Source Verified,0,10000,8
LC2315,Fully Paid,14.27%,14,17.55,17,0,0,0,45000,4,MORTGAGE,debt_consolidation,10,5 years,Source Verified,1,9600,8
LC23150,Fully Paid,11.86%,10,9.55,10,0,0,0,73000,6,MORTGAGE,debt_consolidation,3,4 years,Not Verified,0,3500,3
LC23151,Fully Paid,11.12%,9,12.08,12,0,0,0,60000,5,OWN,debt_consolidation,10,9 years,Verified,0,12000,10
LC23152,Charged Off,15.58%,16,16.07,16,1,0,0,64200,5,OWN,debt_consolidation,5,10+ years,Not Verified,0,9600,8
LC23153,Fully Paid,10.38%,8,23,23,0,0,0,57600,5,MORTGAGE,debt_consolidation,8,4 years,Not Verified,0,16800,14
LC23154,Charged Off,19.41%,22,23.33,23,1,1,1-4,72000,6,MORTGAGE,debt_consolidation,9,10+ years,Source Verified,0,14400,12
LC23155,Fully Paid,11.49%,10,19.5,19,0,3,1-4,26400,2,RENT,major_purchase,2,3 years,Source Verified,0,6000,5
LC23156,Fully Paid,16.32%,17,12.58,13,0,1,1-4,98000,8,RENT,credit_card,6,7 years,Verified,0,8500,7
LC23157,Charged Off,19.41%,22,11.47,12,1,0,0,22800,2,RENT,small_business,19,10+ years,Verified,1,30000,25
LC23158,Fully Paid,10.38%,8,16.42,16,0,3,1-4,85000,7,MORTGAGE,credit_card,10,4 years,Not Verified,0,8500,7
LC23159,Fully Paid,15.21%,15,22.88,23,0,1,1-4,30160,3,RENT,home_improvement,7,5 years,Verified,0,4800,4
LC2316,Fully Paid,15.27%,15,4.18,5,0,2,1-4,102000,8,MORTGAGE,major_purchase,14,2 years,Not Verified,0,6000,5
LC23160,Fully Paid,16.32%,17,8.44,9,0,0,0,91000,7,MORTGAGE,credit_card,16,8 years,Not Verified,2,12000,10
LC23161,Charged Off,13.23%,12,14.04,14,1,2,1-4,38900,3,RENT,small_business,6,3 years,Verified,0,15000,13
LC23162,Fully Paid,13.23%,12,16.51,16,0,0,0,81600,6,MORTGAGE,car,7,2 years,Source Verified,0,7000,6
LC23163,Fully Paid,13.23%,12,15.63,16,0,3,1-4,45000,4,MORTGAGE,debt_consolidation,11,10+ years,Source Verified,0,9600,8
LC23164,Fully Paid,11.12%,9,24.64,24,0,0,0,58000,5,MORTGAGE,major_purchase,9,LT 1year,Not Verified,0,4850,4
LC23165,Fully Paid,11.86%,10,23.2,23,0,1,1-4,91000,7,RENT,debt_consolidation,7,10+ years,Not Verified,0,24000,20
LC23166,Fully Paid,16.32%,17,15.23,15,0,0,0,157000,12,MORTGAGE,debt_consolidation,9,10+ years,Not Verified,0,7500,6
LC23167,Fully Paid,16.32%,17,13.45,14,0,0,0,33000,3,RENT,major_purchase,5,4 years,Source Verified,0,2500,2
LC23168,Fully Paid,10.38%,8,21.96,22,0,0,0,23004,2,RENT,car,3,10+ years,Verified,0,5000,4
LC23169,Fully Paid,13.23%,12,18.44,18,0,2,1-4,60000,5,MORTGAGE,major_purchase,10,LT 1year,Verified,0,15000,13
LC2317,Fully Paid,18.64%,20,13.82,14,0,0,0,75000,6,RENT,debt_consolidation,2,4 years,Not Verified,0,2400,2
LC23170,Fully Paid,11.86%,10,21.45,21,0,3,1-4,40000,3,RENT,major_purchase,9,LT 1year,Verified,0,3000,3
LC23171,Fully Paid,17.93%,19,13.35,13,0,0,0,41000,3,RENT,debt_consolidation,7,LT 1year,Source Verified,0,12000,10
LC23172,Fully Paid,10.75%,9,19.47,19,0,0,0,31800,3,RENT,medical,9,10+ years,Not Verified,0,16000,14
